win_ms,hop_ms,status,n_train_windows,n_test_windows,n_features,accuracy,macro_f1,feat_time_mean_ms,feat_time_p95_ms
50.0,12.5,ok,1321320,65520,128,0.9143620268620268,0.9145832627990066,0.033639447521705466,0.03659998765215278
75.0,18.75,ok,901208,44688,128,0.9278329752953813,0.9279700578388439,0.03914110490370909,0.04220000118948519
100.0,25.0,ok,667436,33096,128,0.9334964950447184,0.9335724227182153,0.04413071962216312,0.048299989430233836
150.0,37.5,ok,440440,21840,128,0.9412087912087912,0.9412199672872129,0.05565648811997039,0.07150501915020861
200.0,50.0,ok,328636,16296,128,0.9465513009327442,0.9465420709697685,0.06155704458040232,0.06660001236014068
250.0,62.5,ok,260876,12936,128,0.9491341991341992,0.9491061502168207,0.07135269012681644,0.0771000050008297
300.0,75.0,ok,213444,10584,128,0.951058201058201,0.951027252710023,0.08214351836918327,0.08709999383427203
400.0,100.0,ok,155848,7728,128,0.9541925465838509,0.9541544300814568,0.1046563017852525,0.11069999891333282
