filtered,win_ms,hop_ms,status,n_train_windows,n_test_windows,n_features,accuracy,macro_f1,feat_time_mean_ms,feat_time_p95_ms,preprocess_record_mean_ms,preprocess_record_p95_ms,algorithmic_delay_ms
False,50.0,12.5,ok,1321320,65520,128,0.9143620268620268,0.9145832627990066,0.04713020148207046,0.07280000136233866,,,50.0
False,75.0,18.75,ok,901208,44688,128,0.9278329752953813,0.9279700578388439,0.04038605001471356,0.04369998350739479,,,75.0
False,100.0,25.0,ok,667436,33096,128,0.9334964950447184,0.9335724227182153,0.04465169804716785,0.046900007873773575,,,100.0
False,150.0,37.5,ok,440440,21840,128,0.9412087912087912,0.9412199672872129,0.053287554974870276,0.05600001895800233,,,150.0
False,200.0,50.0,ok,328636,16296,128,0.9465513009327442,0.9465420709697685,0.061615236933943995,0.06439999560825527,,,200.0
False,250.0,62.5,ok,260876,12936,128,0.9491341991341992,0.9491061502168207,0.07124693095112775,0.07450001430697739,,,250.0
False,300.0,75.0,ok,213444,10584,128,0.951058201058201,0.951027252710023,0.08089751493943294,0.08369999704882503,,,300.0
False,400.0,100.0,ok,155848,7728,128,0.9541925465838509,0.9541544300814568,0.10023985494506173,0.10359997395426035,,,400.0
True,50.0,12.5,ok,1321320,65520,128,0.9127136752136752,0.9129668793724833,0.045080022898015666,0.04710000939667225,13.639746428712638,17.15376000647666,50.0
True,75.0,18.75,ok,901208,44688,128,0.9274301825993555,0.9275714244229809,0.054031505062401924,0.05879998207092285,13.639746428712638,17.15376000647666,75.0
True,100.0,25.0,ok,667436,33096,128,0.932771331883007,0.9328494877045943,0.06609944404709814,0.09300000965595245,13.639746428712638,17.15376000647666,100.0
True,150.0,37.5,ok,440440,21840,128,0.9410714285714286,0.9410783011510976,0.08249538001549368,0.08999998681247234,13.639746428712638,17.15376000647666,150.0
True,200.0,50.0,ok,328636,16296,128,0.9461831124202258,0.9461646902150515,0.09710872614704563,0.10539998766034842,13.639746428712638,17.15376000647666,200.0
True,250.0,62.5,ok,260876,12936,128,0.9518398268398268,0.9517943931057619,0.11464795135595877,0.1255249953828752,13.639746428712638,17.15376000647666,250.0
True,300.0,75.0,ok,213444,10584,128,0.9538926681783825,0.9538580619062857,0.13500873977872763,0.14990000636316836,13.639746428712638,17.15376000647666,300.0
True,400.0,100.0,ok,155848,7728,128,0.9598861283643892,0.9598217549257722,0.16586656337782887,0.18159998580813408,13.639746428712638,17.15376000647666,400.0
