alpha_lr,best_action_idx,win_ms,filtered,best_reward_est,n_pulls_best,pulls_total
0.05,0,150,1,0.7825100171065168,367,400
0.1,0,150,1,0.782399257927213,366,400
0.2,0,150,1,0.7821903091236772,361,400
0.5,0,150,1,0.7816117401913965,318,400
1.0,0,150,1,0.7831659485014537,375,400
