row_type,seed,method,channels_count,selected_channels,train_participants,val_participants,selection_score_accuracy,selection_score_macro_f1,top_channel_frequency,seed_a,seed_b,jaccard
pairwise,-1,ranking,6,,,,,,,0.0,2.0,0.7142857142857143
pairwise,-1,ranking,6,,,,,,,0.0,3.0,0.7142857142857143
pairwise,-1,ranking,6,,,,,,,1.0,2.0,0.3333333333333333
pairwise,-1,ranking,6,,,,,,,1.0,3.0,0.7142857142857143
pairwise,-1,ranking,6,,,,,,,2.0,3.0,0.5
pairwise,-1,ranking,8,,,,,,,0.0,1.0,0.6
pairwise,-1,ranking,8,,,,,,,0.0,2.0,0.7777777777777778
pairwise,-1,ranking,8,,,,,,,0.0,3.0,0.6
pairwise,-1,ranking,8,,,,,,,1.0,2.0,0.6
pairwise,-1,ranking,8,,,,,,,1.0,3.0,1.0
pairwise,-1,ranking,8,,,,,,,2.0,3.0,0.6
pairwise,-1,ranking,12,,,,,,,0.0,1.0,0.7142857142857143
pairwise,-1,ranking,12,,,,,,,0.0,2.0,0.6
pairwise,-1,ranking,12,,,,,,,0.0,3.0,0.7142857142857143
pairwise,-1,ranking,12,,,,,,,1.0,2.0,0.7142857142857143
pairwise,-1,ranking,12,,,,,,,1.0,3.0,1.0
pairwise,-1,ranking,12,,,,,,,2.0,3.0,0.7142857142857143
pairwise,-1,greedy,3,,,,,,,0.0,1.0,0.0
pairwise,-1,greedy,3,,,,,,,0.0,2.0,0.0
pairwise,-1,greedy,3,,,,,,,0.0,3.0,0.0
pairwise,-1,greedy,3,,,,,,,1.0,2.0,0.0
pairwise,-1,greedy,3,,,,,,,1.0,3.0,0.2
pairwise,-1,greedy,3,,,,,,,2.0,3.0,0.0
pairwise,-1,greedy,6,,,,,,,0.0,1.0,0.2
pairwise,-1,greedy,6,,,,,,,0.0,2.0,0.09090909090909091
pairwise,-1,greedy,6,,,,,,,0.0,3.0,0.3333333333333333
pairwise,-1,greedy,6,,,,,,,1.0,2.0,0.09090909090909091
pairwise,-1,greedy,6,,,,,,,1.0,3.0,0.3333333333333333
pairwise,-1,greedy,6,,,,,,,2.0,3.0,0.0
pairwise,-1,greedy,8,,,,,,,0.0,1.0,0.23076923076923078
pairwise,-1,greedy,8,,,,,,,0.0,2.0,0.14285714285714285
pairwise,-1,greedy,8,,,,,,,0.0,3.0,0.3333333333333333
pairwise,-1,greedy,8,,,,,,,1.0,2.0,0.23076923076923078
pairwise,-1,greedy,8,,,,,,,1.0,3.0,0.23076923076923078
pairwise,-1,greedy,8,,,,,,,2.0,3.0,0.14285714285714285
pairwise,-1,greedy,12,,,,,,,0.0,1.0,0.3333333333333333
pairwise,-1,greedy,12,,,,,,,0.0,2.0,0.4117647058823529
pairwise,-1,greedy,12,,,,,,,0.0,3.0,0.4117647058823529
pairwise,-1,greedy,12,,,,,,,1.0,2.0,0.5
pairwise,-1,greedy,12,,,,,,,1.0,3.0,0.3333333333333333
pairwise,-1,greedy,12,,,,,,,2.0,3.0,0.2631578947368421
