split_mode,action_source,method,channels_count,selected_channels,feature_set,window_ms,filtering,macro_f1,accuracy,processing_time_ms,feature_vector_size,profile,alpha,beta,gamma,reward
medium,channel_sweep,random,6,"[2, 7, 12, 18, 21, 23]",basic,200.0,False,0.7864478149242229,0.782860824742268,0.1293250000647579,24,balanced,0.03,0.002,0.0004,0.7609680649222801
medium,feature_sweep,greedy,3,"[6, 8, 5]",extended_td,200.0,False,0.7817979417901256,0.779025527736868,0.1056398686798063,33,balanced,0.03,0.002,0.0004,0.7594287457297314
medium,channel_sweep,random,4,"[0, 7, 8, 15]",basic,200.0,False,0.7684682972022595,0.7734106529209622,0.1200666662649988,16,balanced,0.03,0.002,0.0004,0.7504662972143096
medium,channel_sweep,greedy,4,"[6, 8, 5, 16]",basic,200.0,False,0.7505822893911855,0.7471772214040255,0.1167791660918737,16,balanced,0.03,0.002,0.0004,0.7326789144084294
medium,feature_sweep,greedy,3,"[6, 8, 5]",basic,200.0,False,0.7448272256807771,0.7412248404516446,0.1046760892335402,12,balanced,0.03,0.002,0.0004,0.7308869430037709
medium,channel_sweep,random,4,"[7, 9, 18, 19]",basic,200.0,False,0.7406551156157396,0.7382793323514973,0.1147833327195257,16,balanced,0.03,0.002,0.0004,0.7228116156341539
medium,channel_sweep,random,3,"[5, 8, 17]",basic,200.0,False,0.7353377399620106,0.7300257731958762,0.1140166661267964,12,balanced,0.03,0.002,0.0004,0.7211172399782066
medium,channel_sweep,random,4,"[2, 6, 18, 23]",basic,200.0,False,0.6825044329292269,0.679860088365243,0.1606333333559935,16,balanced,0.03,0.002,0.0004,0.6632854329285471
medium,channel_sweep,ranking,4,"[6, 14, 7, 15]",basic,200.0,False,0.6637448158094911,0.6700110456553755,0.114175000059428,16,balanced,0.03,0.002,0.0004,0.6459195658077083
medium,channel_sweep,random,3,"[15, 19, 20]",basic,200.0,False,0.6586307454733831,0.6564187530682376,0.1145833331671989,12,balanced,0.03,0.002,0.0004,0.6443932454783671
medium,channel_sweep,ranking,3,"[6, 14, 7]",basic,200.0,False,0.6472843383403633,0.6473674521354934,0.1344416662808119,12,balanced,0.03,0.002,0.0004,0.6324510883519389
medium,channel_sweep,random,3,"[9, 14, 20]",basic,200.0,False,0.6351627741308676,0.6396968581246931,0.1188666666773012,12,balanced,0.03,0.002,0.0004,0.6207967741305486
medium,channel_sweep,random,6,"[3, 13, 14, 15, 16, 18]",basic,200.0,False,0.8525852519242008,0.8523564064801178,0.1333041667142727,24,compression_first,0.02,0.006,0.0012,0.7851191685899153
medium,channel_sweep,random,8,"[5, 7, 8, 9, 18, 19, 21, 22]",basic,200.0,False,0.8696575411371718,0.8687101129111439,0.182533333372703,32,compression_first,0.02,0.006,0.0012,0.7796068744697177
medium,channel_sweep,random,12,"[1, 2, 5, 8, 10, 15, 17, 19, 20, 21, 22, 23]",basic,200.0,False,0.9102108038952402,0.9095790378006872,0.1520416664485916,48,compression_first,0.02,0.006,0.0012,0.7775699705662683
medium,channel_sweep,random,8,"[5, 10, 11, 12, 14, 15, 16, 17]",basic,200.0,False,0.8534456802225203,0.853154148257241,0.1393666663413265,32,compression_first,0.02,0.006,0.0012,0.7642583468956937
medium,channel_sweep,ranking,8,"[6, 14, 7, 15, 0, 5, 9, 8]",basic,200.0,False,0.8489447471933713,0.8499324987727049,0.1326041663863482,32,compression_first,0.02,0.006,0.0012,0.7598926638656444
medium,channel_sweep,random,12,"[1, 4, 5, 6, 8, 9, 10, 11, 14, 16, 22, 23]",basic,200.0,False,0.89045357690625,0.8905866470299459,0.1471458332768331,48,compression_first,0.02,0.006,0.0012,0.7579106602407134
medium,channel_sweep,random,16,"[1, 3, 6, 7, 8, 10, 11, 13, 14, 16, 17, 18, 19, 20, 21, 22]",basic,200.0,False,0.931737527612166,0.9311487481590576,0.1751916668884708,64,compression_first,0.02,0.006,0.0012,0.7554336942743967
medium,channel_sweep,random,12,"[1, 3, 5, 7, 8, 9, 10, 13, 14, 16, 17, 23]",basic,200.0,False,0.885915153658624,0.885708149239077,0.1495666660957795,48,compression_first,0.02,0.006,0.0012,0.7533238203367084
medium,channel_sweep,ranking,6,"[6, 14, 7, 15, 0, 5]",basic,200.0,False,0.8162438020773441,0.8182069219440353,0.1466333333155489,24,compression_first,0.02,0.006,0.0012,0.7485111354110331
medium,feature_sweep,greedy,6,"[6, 8, 5, 16, 9, 23]",basic,200.0,False,0.8147628978467312,0.8134511536573392,0.1173506934205049,24,compression_first,0.02,0.006,0.0012,0.747615883978321
medium,channel_sweep,random,16,"[1, 3, 5, 6, 7, 8, 9, 11, 12, 17, 18, 19, 20, 21, 22, 23]",basic,200.0,False,0.9215055134204032,0.9207167403043692,0.1716291665919319,64,compression_first,0.02,0.006,0.0012,0.7452729300885647
medium,channel_sweep,greedy,16,"[6, 8, 5, 16, 9, 23, 22, 4, 13, 12, 1, 0, 20, 3, 15, 17]",basic,200.0,False,0.9183647472176206,0.9178325969563084,0.1666625001538098,64,compression_first,0.02,0.006,0.0012,0.7422314972145445
medium,channel_sweep,ranking,12,"[6, 14, 7, 15, 0, 5, 9, 8, 13, 1, 11, 3]",basic,200.0,False,0.8726615068257378,0.8733738340697104,0.1515291666388899,48,compression_first,0.02,0.006,0.0012,0.74003092349296
medium,channel_sweep,random,16,"[0, 1, 3, 4, 5, 6, 8, 9, 10, 12, 13, 15, 17, 19, 21, 22]",basic,200.0,False,0.9161358356788412,0.9158382425135002,0.1671374999811329,64,compression_first,0.02,0.006,0.0012,0.7399930856792185
medium,channel_sweep,random,6,"[1, 10, 19, 21, 22, 23]",basic,200.0,False,0.8012976459198619,0.8013009327442318,0.1232416672489004,24,compression_first,0.02,0.006,0.0012,0.7340328125748837
medium,channel_sweep,random,8,"[0, 6, 8, 9, 10, 12, 18, 22]",basic,200.0,False,0.8166101610826475,0.8154761904761905,0.1354083333353628,32,compression_first,0.02,0.006,0.0012,0.7275019944159402
medium,channel_sweep,random,4,"[0, 7, 8, 15]",basic,200.0,False,0.7684682972022595,0.7734106529209622,0.1200666662649988,16,compression_first,0.02,0.006,0.0012,0.7228669638769595
medium,feature_sweep,greedy,3,"[6, 8, 5]",extended_td,200.0,False,0.7817979417901256,0.779025527736868,0.1056398686798063,33,compression_first,0.02,0.006,0.0012,0.7220851444165295
medium,feature_sweep,greedy,8,"[6, 8, 5, 16, 9, 23, 22, 4]",basic,200.0,False,0.8101077368062894,0.8092783505154639,0.124129771112471,32,compression_first,0.02,0.006,0.0012,0.72122514138404
medium,feature_sweep,greedy,6,"[6, 8, 5, 16, 9, 23]",extended_td,200.0,False,0.8366494494869265,0.8352356406480118,0.1179146539004465,66,compression_first,0.02,0.006,0.0012,0.7190911564089175
medium,channel_sweep,random,6,"[2, 7, 12, 18, 21, 23]",basic,200.0,False,0.7864478149242229,0.782860824742268,0.1293250000647579,24,compression_first,0.02,0.006,0.0012,0.7190613149229277
medium,feature_sweep,greedy,8,"[6, 8, 5, 16, 9, 23, 22, 4]",extended_td,200.0,False,0.8666285438396536,0.8666237113402062,0.1271871839690725,88,compression_first,0.02,0.006,0.0012,0.710484800160272
medium,feature_sweep,greedy,3,"[6, 8, 5]",basic,200.0,False,0.7448272256807771,0.7412248404516446,0.1046760892335402,12,compression_first,0.02,0.006,0.0012,0.7103337038961063
medium,channel_sweep,ranking,16,"[6, 14, 7, 15, 0, 5, 9, 8, 13, 1, 11, 3, 4, 10, 2, 12]",basic,200.0,False,0.8853045674655036,0.8861070201276386,0.1622875001885404,64,compression_first,0.02,0.006,0.0012,0.7092588174617328
medium,channel_sweep,greedy,4,"[6, 8, 5, 16]",basic,200.0,False,0.7505822893911855,0.7471772214040255,0.1167791660918737,16,compression_first,0.02,0.006,0.0012,0.705046706069348
medium,channel_sweep,random,3,"[5, 8, 17]",basic,200.0,False,0.7353377399620106,0.7300257731958762,0.1140166661267964,12,compression_first,0.02,0.006,0.0012,0.7006574066394746
medium,channel_sweep,random,4,"[7, 9, 18, 19]",basic,200.0,False,0.7406551156157396,0.7382793323514973,0.1147833327195257,16,compression_first,0.02,0.006,0.0012,0.6951594489613491
medium,feature_sweep,greedy,12,"[6, 8, 5, 16, 9, 23, 22, 4, 13, 12, 1, 0]",basic,200.0,False,0.8194234340488175,0.8186057928325969,0.1442355977006803,48,compression_first,0.02,0.006,0.0012,0.6869387220948039
medium,channel_sweep,ranking,24,"[6, 14, 7, 15, 0, 5, 9, 8, 13, 1, 11, 3, 4, 10, 2, 12, 19, 18, 23, 17, 22, 16, 20, 21]",basic,200.0,False,0.9345215635815728,0.9340942562592048,0.2056875003593935,96,compression_first,0.02,0.006,0.0012,0.671207813574385
medium,channel_sweep,random,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",basic,200.0,False,0.9345215635815728,0.9340942562592048,0.2070666667653616,96,compression_first,0.02,0.006,0.0012,0.6711802302462656
medium,feature_sweep,full,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",basic,200.0,False,0.9284057813212564,0.9277736867943054,0.2013449067221804,96,compression_first,0.02,0.006,0.0012,0.6651788831868128
medium,feature_sweep,greedy,12,"[6, 8, 5, 16, 9, 23, 22, 4, 13, 12, 1, 0]",extended_td,200.0,False,0.8788470847368318,0.8786512027491409,0.1476278197139784,132,compression_first,0.02,0.006,0.0012,0.6454945283425523
medium,channel_sweep,random,4,"[2, 6, 18, 23]",basic,200.0,False,0.6825044329292269,0.679860088365243,0.1606333333559935,16,compression_first,0.02,0.006,0.0012,0.6360917662621071
medium,channel_sweep,random,3,"[15, 19, 20]",basic,200.0,False,0.6586307454733831,0.6564187530682376,0.1145833331671989,12,compression_first,0.02,0.006,0.0012,0.6239390788100391
medium,channel_sweep,ranking,4,"[6, 14, 7, 15]",basic,200.0,False,0.6637448158094911,0.6700110456553755,0.114175000059428,16,compression_first,0.02,0.006,0.0012,0.6182613158083025
medium,channel_sweep,ranking,3,"[6, 14, 7]",basic,200.0,False,0.6472843383403633,0.6473674521354934,0.1344416662808119,12,compression_first,0.02,0.006,0.0012,0.6121955050147471
