row_type,split_name,method,channels_count,feature_set,accuracy,macro_f1,selected_channels,selection_score_accuracy,selection_score_macro_f1,selection_train_participants,selection_val_participants,final_test_participants,n_repeats,macro_f1_mean,macro_f1_std,macro_f1_ci95_low,macro_f1_ci95_high,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high
detail,fold_d,ranking,12,basic,0.8976742758959254,0.8976643773215696,"[5, 13, 0, 15, 8, 7, 14, 6, 3, 9, 11, 1]",0.853614383897889,0.857210552879061,"13,14,15,16,17,18,19,20,21,22,23,24","25,26,27,28","29,30,31,32",,,,,,,,,
detail,fold_d,ranking,12,extended_td,0.9435137457044672,0.94357578788693,"[5, 13, 0, 15, 8, 7, 14, 6, 3, 9, 11, 1]",0.853614383897889,0.857210552879061,"13,14,15,16,17,18,19,20,21,22,23,24","25,26,27,28","29,30,31,32",,,,,,,,,
detail,fold_d,ranking,24,basic,0.9234781541482572,0.9236762143530528,"[5, 13, 0, 15, 8, 7, 14, 6, 3, 9, 11, 1, 2, 4, 12, 10, 19, 18, 23, 17, 20, 21, 22, 16]",0.9102847324496808,0.9110270686388368,"13,14,15,16,17,18,19,20,21,22,23,24","25,26,27,28","29,30,31,32",,,,,,,,,
detail,fold_d,ranking,24,extended_td,0.9613708885616102,0.9614939733942092,"[5, 13, 0, 15, 8, 7, 14, 6, 3, 9, 11, 1, 2, 4, 12, 10, 19, 18, 23, 17, 20, 21, 22, 16]",0.9102847324496808,0.9110270686388368,"13,14,15,16,17,18,19,20,21,22,23,24","25,26,27,28","29,30,31,32",,,,,,,,,
detail,fold_d,full,24,basic,0.9234781541482572,0.9236762143530528,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.9102847324496808,0.9110270686388368,"13,14,15,16,17,18,19,20,21,22,23,24","25,26,27,28","29,30,31,32",,,,,,,,,
detail,fold_d,full,24,extended_td,0.9613708885616102,0.9614939733942092,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.9102847324496808,0.9110270686388368,"13,14,15,16,17,18,19,20,21,22,23,24","25,26,27,28","29,30,31,32",,,,,,,,,
detail,fold_e,ranking,12,basic,0.898840206185567,0.8981613580788328,"[0, 8, 15, 2, 7, 9, 1, 5, 14, 6, 11, 13]",0.9011720667648504,0.9015870121612176,"17,18,19,20,21,22,23,24,25,26,27,28","29,30,31,32","33,34,35,36",,,,,,,,,
detail,fold_e,ranking,12,extended_td,0.9435751104565536,0.9429583317294932,"[0, 8, 15, 2, 7, 9, 1, 5, 14, 6, 11, 13]",0.9011720667648504,0.9015870121612176,"17,18,19,20,21,22,23,24,25,26,27,28","29,30,31,32","33,34,35,36",,,,,,,,,
detail,fold_e,ranking,24,basic,0.9109597447226312,0.910474984372672,"[0, 8, 15, 2, 7, 9, 1, 5, 14, 6, 11, 13, 3, 10, 12, 4, 19, 21, 20, 18, 17, 23, 22, 16]",0.9533627884143347,0.9535954823633508,"17,18,19,20,21,22,23,24,25,26,27,28","29,30,31,32","33,34,35,36",,,,,,,,,
detail,fold_e,ranking,24,extended_td,0.9537616593028964,0.9532657314791628,"[0, 8, 15, 2, 7, 9, 1, 5, 14, 6, 11, 13, 3, 10, 12, 4, 19, 21, 20, 18, 17, 23, 22, 16]",0.9533627884143347,0.9535954823633508,"17,18,19,20,21,22,23,24,25,26,27,28","29,30,31,32","33,34,35,36",,,,,,,,,
detail,fold_e,full,24,basic,0.9109597447226312,0.910474984372672,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.9533627884143347,0.9535954823633508,"17,18,19,20,21,22,23,24,25,26,27,28","29,30,31,32","33,34,35,36",,,,,,,,,
detail,fold_e,full,24,extended_td,0.9537616593028964,0.9532657314791628,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",0.9533627884143347,0.9535954823633508,"17,18,19,20,21,22,23,24,25,26,27,28","29,30,31,32","33,34,35,36",,,,,,,,,
detail,medium_ref,greedy,6,basic,0.8134511536573392,0.8147628978467312,"[6, 8, 5, 16, 9, 23]",0.8592599410898379,0.8595645752460562,"1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",,,,,,,,,
detail,medium_ref,greedy,6,extended_td,0.8352356406480118,0.8366494494869265,"[6, 8, 5, 16, 9, 23]",0.8592599410898379,0.8595645752460562,"1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",,,,,,,,,
detail,medium_ref,greedy,12,basic,0.8186057928325969,0.8194234340488175,"[6, 8, 5, 16, 9, 23, 22, 4, 13, 12, 1, 0]",0.8847263132056946,0.8848533723178331,"1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",,,,,,,,,
detail,medium_ref,greedy,12,extended_td,0.8786512027491409,0.8788470847368318,"[6, 8, 5, 16, 9, 23, 22, 4, 13, 12, 1, 0]",0.8847263132056946,0.8848533723178331,"1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",,,,,,,,,
detail,fold_b,greedy,6,basic,0.8411880216003927,0.8406584561423985,"[19, 16, 20, 1, 13, 3]",0.8533382425135002,0.85473786238441,"5,6,7,8,9,10,11,12,13,14,15,16","17,18,19,20","21,22,23,24",,,,,,,,,
detail,fold_b,greedy,6,extended_td,0.8896661757486499,0.8899383798388067,"[19, 16, 20, 1, 13, 3]",0.8533382425135002,0.85473786238441,"5,6,7,8,9,10,11,12,13,14,15,16","17,18,19,20","21,22,23,24",,,,,,,,,
detail,fold_b,greedy,12,basic,0.8935014727540501,0.8932146170251922,"[19, 16, 20, 1, 13, 3, 23, 14, 22, 0, 11, 21]",0.9046084928816888,0.9033916799289996,"5,6,7,8,9,10,11,12,13,14,15,16","17,18,19,20","21,22,23,24",,,,,,,,,
detail,fold_b,greedy,12,extended_td,0.9212383406971036,0.9212800130592554,"[19, 16, 20, 1, 13, 3, 23, 14, 22, 0, 11, 21]",0.9046084928816888,0.9033916799289996,"5,6,7,8,9,10,11,12,13,14,15,16","17,18,19,20","21,22,23,24",,,,,,,,,
detail,fold_c,greedy,6,basic,0.7052344133529701,0.7110763691287696,"[0, 7, 21, 2, 20, 16]",0.9192746686303388,0.9195851699579384,"9,10,11,12,13,14,15,16,17,18,19,20","21,22,23,24","25,26,27,28",,,,,,,,,
detail,fold_c,greedy,6,extended_td,0.8139727540500736,0.8192017344542937,"[0, 7, 21, 2, 20, 16]",0.9192746686303388,0.9195851699579384,"9,10,11,12,13,14,15,16,17,18,19,20","21,22,23,24","25,26,27,28",,,,,,,,,
detail,fold_c,greedy,12,basic,0.835266323024055,0.839610748960294,"[0, 7, 21, 2, 20, 16, 17, 4, 6, 9, 22, 23]",0.9534855179185076,0.9536787299708352,"9,10,11,12,13,14,15,16,17,18,19,20","21,22,23,24","25,26,27,28",,,,,,,,,
detail,fold_c,greedy,12,extended_td,0.8789273441335297,0.8812990071221554,"[0, 7, 21, 2, 20, 16, 17, 4, 6, 9, 22, 23]",0.9534855179185076,0.9536787299708352,"9,10,11,12,13,14,15,16,17,18,19,20","21,22,23,24","25,26,27,28",,,,,,,,,
detail,fold_d,greedy,6,basic,0.8179000981836033,0.8188320408466102,"[5, 0, 20, 15, 16, 6]",0.8837444771723122,0.8836691001676781,"13,14,15,16,17,18,19,20,21,22,23,24","25,26,27,28","29,30,31,32",,,,,,,,,
detail,fold_d,greedy,6,extended_td,0.844440353460972,0.8445939467319048,"[5, 0, 20, 15, 16, 6]",0.8837444771723122,0.8836691001676781,"13,14,15,16,17,18,19,20,21,22,23,24","25,26,27,28","29,30,31,32",,,,,,,,,
detail,fold_d,greedy,12,basic,0.9046084928816888,0.9056080187248609,"[5, 0, 20, 15, 16, 6, 17, 3, 1, 7, 18, 22]",0.9308726067746688,0.9310938081722424,"13,14,15,16,17,18,19,20,21,22,23,24","25,26,27,28","29,30,31,32",,,,,,,,,
detail,fold_d,greedy,12,extended_td,0.9535775650466372,0.9537547093675526,"[5, 0, 20, 15, 16, 6, 17, 3, 1, 7, 18, 22]",0.9308726067746688,0.9310938081722424,"13,14,15,16,17,18,19,20,21,22,23,24","25,26,27,28","29,30,31,32",,,,,,,,,
detail,fold_e,greedy,6,basic,0.8398379970544919,0.8367701639800398,"[0, 3, 13, 21, 22, 1]",0.9501104565537556,0.9506121803187416,"17,18,19,20,21,22,23,24,25,26,27,28","29,30,31,32","33,34,35,36",,,,,,,,,
detail,fold_e,greedy,6,extended_td,0.9098244968090328,0.9071058665989736,"[0, 3, 13, 21, 22, 1]",0.9501104565537556,0.9506121803187416,"17,18,19,20,21,22,23,24,25,26,27,28","29,30,31,32","33,34,35,36",,,,,,,,,
detail,fold_e,greedy,12,basic,0.8871195385370643,0.8860645874052604,"[0, 3, 13, 21, 22, 1, 18, 11, 23, 12, 15, 17]",0.957658321060383,0.958086043944397,"17,18,19,20,21,22,23,24,25,26,27,28","29,30,31,32","33,34,35,36",,,,,,,,,
detail,fold_e,greedy,12,extended_td,0.93443176239568,0.9330320721338916,"[0, 3, 13, 21, 22, 1, 18, 11, 23, 12, 15, 17]",0.957658321060383,0.958086043944397,"17,18,19,20,21,22,23,24,25,26,27,28","29,30,31,32","33,34,35,36",,,,,,,,,
summary,all,full,24,basic,,,,,,,,,5.0,0.9220036786805824,0.012065001181098671,0.9114282388670781,0.9325791184940867,0.9217108492881689,0.012125685105155638,0.9110822176699661,0.9323394809063718
summary,all,full,24,extended_td,,,,,,,,,5.0,0.9543300469202407,0.008647324804235641,0.9467503325346106,0.9619097613058708,0.9543384879725085,0.008735413099395342,0.9466815607918068,0.9619954151532103
summary,all,greedy,6,basic,,,,,,,,,5.0,0.8044199855889097,0.053356055641735185,0.7576513407578468,0.8511886304199726,0.8035223367697594,0.05635456572745869,0.754125381964601,0.8529192915749177
summary,all,greedy,6,extended_td,,,,,,,,,5.0,0.8594978754221811,0.037286397546745086,0.8268149069583446,0.8921808438860177,0.8586278841433481,0.03977132264732852,0.8237667827935028,0.8934889854931934
summary,all,greedy,12,basic,,,,,,,,,5.0,0.868784281232885,0.03721231701736217,0.8361662472160561,0.9014023152497138,0.8678203240058909,0.0382987712280435,0.8342499708850085,0.9013906771267733
summary,all,greedy,12,extended_td,,,,,,,,,5.0,0.9136425772839374,0.03278756970430141,0.8849030052910117,0.942382149276863,0.9133652430044183,0.033592589287127994,0.8839200402354086,0.9428104457734281
summary,all,ranking,12,basic,,,,,,,,,5.0,0.8773782113225664,0.029889766318507763,0.8511786759892178,0.9035777466559151,0.8773073146784487,0.031304493160256526,0.8498677165931044,0.9047469127637929
summary,all,ranking,12,extended_td,,,,,,,,,5.0,0.9122767400077499,0.05102516210822856,0.8675512134412673,0.9570022665742326,0.9117513500245458,0.052814835084344355,0.8654571059286841,0.9580455941204075
summary,all,ranking,24,basic,,,,,,,,,5.0,0.9220036786805824,0.012065001181098671,0.9114282388670781,0.9325791184940867,0.9217108492881689,0.012125685105155638,0.9110822176699661,0.9323394809063718
summary,all,ranking,24,extended_td,,,,,,,,,5.0,0.9543300469202407,0.008647324804235641,0.9467503325346106,0.9619097613058708,0.9543384879725085,0.008735413099395342,0.9466815607918068,0.9619954151532103
