filtered,win_ms,hop_ms,n_train_windows,n_test_windows,n_features,algorithmic_delay_ms,feature_set,feat_time_mean_ms,feat_time_p95_ms,preprocess_record_mean_ms,preprocess_record_p95_ms,status,accuracy,macro_f1,split_mode,channel_method,channels_count,selected_channels,feature_vector_size,processing_time_ms,records_count,train_participants,test_participants,selection_train_participants,selection_val_participants,final_test_participants,selection_metric,final_metric,selection_uses_test,quick_mode,medium_mode
False,200.0,50.0,130368,32592,96,200.0,basic,0.2794526755025159,0.39054500521160634,,,ok,0.9277736867943054,0.9284057813212564,medium,full,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",96,0.2794526755025159,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
False,200.0,50.0,130368,32592,264,200.0,extended_td,0.286421707773862,0.3811000060522929,,,ok,0.9574435444280806,0.9575278848502513,medium,full,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",264,0.286421707773862,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,False,False,True
