split_mode,method,channels_count,selected_channels,window_ms,filtering,feature_set,accuracy,macro_f1,processing_time_ms,feature_vector_size,records_count,train_participants,test_participants,selection_train_participants,selection_val_participants,final_test_participants,selection_metric,final_metric,selection_score_accuracy,selection_score_macro_f1,selection_uses_test,quick_mode,medium_mode,random_repeat
medium,ranking,6,"[6, 14, 7, 15, 0, 5]",200.0,False,basic,0.8182069219440353,0.8162438020773441,0.14663333331554895,24,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7764482081492391,0.7760203919107993,False,False,True,-1
medium,greedy,8,"[6, 8, 5, 16, 9, 23, 22, 4]",200.0,False,basic,0.8524484536082474,0.8518549629141811,0.13069583307393864,32,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8861990672557682,0.886438568801074,False,False,True,-1
medium,random,8,"[5, 10, 11, 12, 14, 15, 16, 17]",200.0,False,basic,0.853154148257241,0.8534456802225203,0.13936666634132658,32,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8154455081001473,0.8156884768837356,False,False,True,0
medium,random,8,"[5, 7, 8, 9, 18, 19, 21, 22]",200.0,False,basic,0.8687101129111439,0.8696575411371718,0.18253333337270305,32,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8008406971035837,0.8033354367618268,False,False,True,1
medium,random,8,"[0, 6, 8, 9, 10, 12, 18, 22]",200.0,False,basic,0.8154761904761905,0.8166101610826475,0.13540833333536284,32,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7474533627884143,0.7550129386743077,False,False,True,2
medium,ranking,8,"[6, 14, 7, 15, 0, 5, 9, 8]",200.0,False,basic,0.8499324987727049,0.8489447471933713,0.13260416638634828,32,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.7937530682376043,0.7904940384694931,False,False,True,-1
medium,greedy,12,"[6, 8, 5, 16, 9, 23, 22, 4, 13, 12, 1, 0]",200.0,False,basic,0.8574496809032891,0.8564124201399218,0.15173333364752276,48,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8847263132056946,0.8848533723178331,False,False,True,-1
medium,random,12,"[1, 4, 5, 6, 8, 9, 10, 11, 14, 16, 22, 23]",200.0,False,basic,0.8905866470299459,0.89045357690625,0.1471458332768331,48,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8777614138438881,0.8784634453042361,False,False,True,0
medium,random,12,"[1, 2, 5, 8, 10, 15, 17, 19, 20, 21, 22, 23]",200.0,False,basic,0.9095790378006873,0.9102108038952402,0.15204166644859166,48,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8556087383406971,0.8567880998510027,False,False,True,1
medium,random,12,"[1, 3, 5, 7, 8, 9, 10, 13, 14, 16, 17, 23]",200.0,False,basic,0.885708149239077,0.885915153658624,0.1495666660957795,48,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.854381443298969,0.8545864975804172,False,False,True,2
medium,ranking,12,"[6, 14, 7, 15, 0, 5, 9, 8, 13, 1, 11, 3]",200.0,False,basic,0.8733738340697104,0.8726615068257378,0.15152916663888996,48,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8405436917034855,0.8394281295799229,False,False,True,-1
medium,greedy,16,"[6, 8, 5, 16, 9, 23, 22, 4, 13, 12, 1, 0, 20, 3, 15, 17]",200.0,False,basic,0.9178325969563083,0.9183647472176206,0.16666250015380987,64,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8919980363279333,0.8925871628859763,False,False,True,-1
medium,random,16,"[1, 3, 6, 7, 8, 10, 11, 13, 14, 16, 17, 18, 19, 20, 21, 22]",200.0,False,basic,0.9311487481590575,0.9317375276121661,0.17519166688847085,64,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8616531664212077,0.8636430790410842,False,False,True,0
medium,random,16,"[1, 3, 5, 6, 7, 8, 9, 11, 12, 17, 18, 19, 20, 21, 22, 23]",200.0,False,basic,0.9207167403043691,0.9215055134204032,0.17162916659193192,64,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8757056946489936,0.8770054846823474,False,False,True,1
medium,random,16,"[0, 1, 3, 4, 5, 6, 8, 9, 10, 12, 13, 15, 17, 19, 21, 22]",200.0,False,basic,0.9158382425135002,0.9161358356788412,0.16713749998113295,64,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8667771232204222,0.8673765755446341,False,False,True,2
medium,ranking,16,"[6, 14, 7, 15, 0, 5, 9, 8, 13, 1, 11, 3, 4, 10, 2, 12]",200.0,False,basic,0.8861070201276386,0.8853045674655036,0.16228750018854043,64,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8493188512518409,0.8485067616936317,False,False,True,-1
medium,full,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",200.0,False,basic,0.9340942562592047,0.9345215635815729,0.21319583280880275,96,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8873036327933235,0.8883268680447229,False,False,True,-1
medium,random,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",200.0,False,basic,0.9340942562592047,0.9345215635815729,0.20706666676536165,96,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8873036327933235,0.8883268680447229,False,False,True,0
medium,ranking,24,"[6, 14, 7, 15, 0, 5, 9, 8, 13, 1, 11, 3, 4, 10, 2, 12, 19, 18, 23, 17, 22, 16, 20, 21]",200.0,False,basic,0.9340942562592047,0.9345215635815729,0.2056875003593935,96,1680,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","40,41,42,43","1,2,3,4,5,6,7,8,9,10,11,12","13,14,15,16","40,41,42,43",macro_f1,macro_f1,0.8873036327933235,0.8883268680447229,False,False,True,-1
